# Created by Octave 3.2.4, Mon Jun 17 21:50:12 2013 ART <ulises@ulises-W240HU-W250HUQ>
# name: todoslostiempos
# type: matrix
# rows: 3
# columns: 2
 9 6.077459812164307
 19 241.625669002533
 29 1478.864008903503
