# Created by Octave 3.2.4, Tue May 14 14:39:12 2013 ART <ulises@ulises-W240HU-W250HUQ>
# name: q
# type: matrix
# rows: 76
# columns: 2
 6.4849853515625e-05 0
 0.003736019134521484 0
 0.008948802947998047 0
 0.01025700569152832 0
 0.01527905464172363 0
 0.02393794059753418 0
 0.03413701057434082 0
 0.04827594757080078 0
 0.06717586517333984 0
 0.08806204795837402 0
 0.1201949119567871 0
 0.1513528823852539 0
 0.1952660083770752 0
 0.2371599674224854 0
 0.3076651096343994 0
 0.380061149597168 0
 0.4932379722595215 0
 0.5875670909881592 0
 0.7199850082397461 0
 0.8118910789489746 0
 0.9673910140991211 0
 1.126667022705078 0
 1.285394191741943 0
 1.483426094055176 0
 1.738065958023071 0
 1.893477916717529 0
 2.12145209312439 0
 2.305415153503418 0
 2.547607183456421 0
 2.807780981063843 0
 3.203796148300171 0
 3.495738983154297 0
 3.654956102371216 0
 4.133887052536011 0
 4.455513000488281 0
 4.865670919418335 0
 5.414582967758179 0
 6.329850912094116 0
 7.065423965454102 0
 7.442085027694702 0
 8.293972969055176 0
 8.654868841171265 0
 9.285419940948486 0
 9.966632843017578 0
 10.67993903160095 0
 11.63711094856262 0
 12.26134204864502 0
 13.16942286491394 0
 13.82375001907349 0
 14.91834402084351 0
 16.01328492164612 0
 16.50081896781921 0
 18.00773501396179 0
 18.62656903266907 0
 20.15947580337524 0
 21.34000992774963 0
 21.900151014328 0
 23.35603284835815 0
 24.37161993980408 0
 25.71571111679077 0
 25.17486095428467 0
 26.54760599136353 0
 28.09374904632568 0
 29.51542401313782 0
 30.52500200271606 0
 32.36564207077026 0
 33.91748905181885 0
 35.47913002967834 0
 36.8331310749054 0
 38.47352504730225 0
 40.18918395042419 0
 42.42237710952759 0
 43.98648405075073 0
 45.95690393447876 0
 47.86601185798645 0
 50.7476692199707 1.059827089309692
