# Created by Octave 3.2.4, Thu Jul 04 11:23:34 2013 ART <ulises@ulises-W240HU-W250HUQ>
# name: q
# type: matrix
# rows: 20
# columns: 2
 9.703636169433594e-05 5.507469177246094e-05
 0.03061699867248535 9.584426879882812e-05
 0.0001249313354492188 0.0001170635223388672
 0.0001649856567382812 0.0001571178436279297
 0.00020599365234375 0.0001959800720214844
 0.0002470016479492188 0.0002360343933105469
 0.0002880096435546875 0.0002760887145996094
 0.0004181861877441406 0.0003190040588378906
 0.0004770755767822266 0.0003581047058105469
 0.0005240440368652344 0.0004000663757324219
 0.0005779266357421875 0.0004630088806152344
 0.0006330013275146484 0.0004870891571044922
 0.0006918907165527344 0.0005190372467041016
 0.0007531642913818359 0.0005819797515869141
 0.0007948875427246094 0.0006089210510253906
 0.0008611679077148438 0.0006620883941650391
 0.0009200572967529297 0.0007231235504150391
 0.0009620189666748047 0.0007889270782470703
 0.001019001007080078 0.0008318424224853516
 0.001084804534912109 0.0008862018585205078
