# Created by Octave 3.2.4, Mon May 13 21:07:54 2013 ART <ulises@ulises-W240HU-W250HUQ>
# name: Q
# type: matrix
# rows: 51
# columns: 2
 5.076367139816284 1.654302821375261e-12
 5.121585845947266 1.293669277928979e-12
 5.329778909683228 3.173240395659889e-13
 5.486428022384644 2.300607416238486e-13
 5.609575986862183 3.220776534964147e-13
 7.035845041275024 3.142471558849548e-12
 8.397955894470215 3.49514319909052e-12
 6.121753931045532 1.889635981591227e-13
 10.17511200904846 2.131115001133314e-12
 6.413103818893433 4.193644063691603e-12
 6.649873971939087 2.848582937631514e-13
 6.803817987442017 1.472040456030697e-12
 6.987512826919556 1.566410956805108e-12
 7.203902959823608 2.886419782238351e-13
 7.394881963729858 4.883759572448526e-13
 7.584474086761475 8.433786437062107e-13
 11.633141040802 7.108062101058624e-12
 7.970457077026367 7.12775495757141e-13
 11.9778459072113 1.933031822752569e-12
 8.509538888931274 1.725066817329049e-12
 8.775126934051514 3.839332750101059e-13
 8.811685085296631 1.096785677171667e-12
 9.063566923141479 4.898844606158964e-13
 13.16696000099182 3.718766295058498e-13
 9.556623935699463 7.850438046324954e-13
 9.85152792930603 1.100467808433661e-12
 13.87926506996155 3.931458027426613e-13
 10.33270907402039 3.911562499207073e-12
 14.42328190803528 2.447566102263985e-11
 10.84149789810181 1.407330179712868e-12
 14.93935203552246 1.601994117729923e-12
 15.19812202453613 1.895577253669167e-12
 11.60157513618469 1.479126393555455e-12
 11.88798809051514 7.079866583875468e-12
 15.99876594543457 4.472471514968776e-13
 12.45850706100464 4.747422057152228e-11
 12.7505350112915 6.741952119668168e-13
 16.7986319065094 5.921300520230518e-13
 17.08116984367371 3.366627292927801e-13
 17.38145089149475 1.510060034722942e-12
 13.87241101264954 7.82229863499075e-13
 14.12798404693604 1.389781197412232e-10
 18.34876704216003 1.337529461176384e-12
 18.73654890060425 1.011924071906421e-12
 15.13372588157654 1.343787979042332e-12
 19.28655505180359 6.49605320132579e-13
 19.60460710525513 4.530193648400654e-12
 16.11509299278259 9.604934466830337e-13
 16.34705185890198 1.819332019754558e-12
 20.53868007659912 4.182875583309593e-12
 20.9763560295105 4.831075745051544e-13
