# Created by Octave 3.2.4, Mon May 13 20:14:04 2013 ART <ulises@ulises-W240HU-W250HUQ>
# name: Q
# type: matrix
# rows: 51
# columns: 2
 4.965171098709106 1.654302821375261e-12
 5.121555089950562 1.293669277928979e-12
 5.246296167373657 3.173240395659889e-13
 5.454185962677002 2.300607416238486e-13
 5.619045972824097 3.220776534964147e-13
 5.736227989196777 3.142471558849548e-12
 5.933422088623047 3.49514319909052e-12
 6.063267946243286 1.889635981591227e-13
 6.290049076080322 2.131115001133314e-12
 7.875 4.193644063691603e-12
 8.905448913574219 2.848582937631514e-13
 6.876776933670044 1.472040456030697e-12
 6.951971054077148 1.566410956805108e-12
 7.225795030593872 2.886419782238351e-13
 7.371501922607422 4.883759572448526e-13
 7.525979042053223 8.433786437062107e-13
 11.7254478931427 7.108062101058624e-12
 7.963189125061035 7.12775495757141e-13
 8.146833181381226 1.933031822752569e-12
 8.59515905380249 1.725066817329049e-12
 11.98748898506165 3.839332750101059e-13
 13.09784889221191 1.096785677171667e-12
 12.86550807952881 4.898844606158964e-13
 9.24210786819458 3.718766295058498e-13
 13.3718090057373 7.850438046324954e-13
 13.768385887146 1.100467808433661e-12
 13.90159702301025 3.931458027426613e-13
 10.39129495620728 3.911562499207073e-12
 14.41754412651062 2.447566102263985e-11
 10.76447510719299 1.407330179712868e-12
 10.96085786819458 1.601994117729923e-12
 11.36617088317871 1.895577253669167e-12
 15.40230202674866 1.479126393555455e-12
 15.70017194747925 7.079866583875468e-12
 15.88823390007019 4.472471514968776e-13
 16.215815782547 4.747422057152228e-11
 12.65357708930969 6.741952119668168e-13
 16.77596712112427 5.921300520230518e-13
 13.21226596832275 3.366627292927801e-13
 13.50734710693359 1.510060034722942e-12
 13.81242799758911 7.82229863499075e-13
 17.97589588165283 1.389781197412232e-10
 14.41774082183838 1.337529461176384e-12
 14.77703189849854 1.011924071906421e-12
 18.89270782470703 1.343787979042332e-12
 15.42489886283875 6.49605320132579e-13
 15.76724100112915 4.530193648400654e-12
 15.97719693183899 9.604934466830337e-13
 16.37174916267395 1.819332019754558e-12
 16.70589590072632 4.182875583309593e-12
 20.98153209686279 4.831075745051544e-13
