# Created by Octave 3.2.4, Mon May 13 17:11:05 2013 ART <ulises@ulises-W240HU-W250HUQ>
# name: Q
# type: matrix
# rows: 100
# columns: 2
 0.0004210472106933594 0
 0.0011749267578125 3.33066907387547e-16
 0.00176692008972168 5.551115123125783e-17
 0.0008368492126464844 1.079260130999659e-15
 0.001323938369750977 2.521025350225157e-16
 0.001984119415283203 8.703541781229693e-16
 0.002897977828979492 1.925564937605145e-15
 0.004265069961547852 1.105975724044276e-14
 0.005312919616699219 1.521248638841035e-15
 0.006901979446411133 5.995413138646916e-15
 0.008672952651977539 7.09871568679135e-15
 0.01093506813049316 5.552416081049317e-15
 0.01371312141418457 1.826291566297499e-14
 0.01658296585083008 1.170471556602285e-13
 0.01987695693969727 9.535209461947655e-14
 0.02383613586425781 6.521500895051925e-15
 0.02799010276794434 1.192779513790264e-14
 0.03350090980529785 6.659945742075346e-14
 0.03817105293273926 1.193252716295939e-13
 0.04526185989379883 1.543183291381743e-14
 0.05089116096496582 1.51394389448748e-14
 0.05767011642456055 1.357938922053826e-14
 0.06569600105285645 1.573327441736788e-14
 0.07417798042297363 1.815377798752272e-14
 0.08293914794921875 4.200749977639587e-14
 0.09289383888244629 8.125344471692549e-14
 0.1041531562805176 7.748051790263182e-14
 0.1152329444885254 6.193360043314174e-14
 0.1271851062774658 5.688606941842915e-14
 0.1392519474029541 5.158427491711314e-14
 0.1569199562072754 3.097764450297597e-13
 0.1694018840789795 3.173370957501271e-14
 0.1851329803466797 3.137207191348088e-14
 0.2019181251525879 6.154707794662545e-14
 0.2208781242370605 2.022227893421825e-14
 0.2399899959564209 3.146874439535336e-13
 0.2572181224822998 3.376204663776585e-14
 0.2766120433807373 2.908913205161438e-14
 0.2984769344329834 1.391062028397598e-13
 0.3228001594543457 4.513240572325116e-14
 0.3456001281738281 7.216977530454896e-14
 0.3748641014099121 1.079231373544752e-13
 0.4008028507232666 2.731708952554274e-14
 0.423321008682251 6.441775747185072e-14
 0.4655139446258545 2.6432899156861e-14
 0.4882941246032715 6.706047192157575e-14
 0.5241270065307617 8.565596341751561e-14
 0.5553560256958008 1.469402304657245e-13
 0.5848591327667236 3.66823638586483e-13
 0.6262471675872803 5.269193737519181e-14
 0.6626701354980469 4.472347272173832e-14
 0.702549934387207 9.344060772756139e-14
 0.7393491268157959 6.775300979052858e-14
 0.783811092376709 9.126610377385729e-14
 0.8369138240814209 2.784158461195195e-13
 0.8637430667877197 2.764501549160595e-13
 0.9134819507598877 7.939714819827535e-14
 0.9567060470581055 9.571905545561413e-14
 1.004783153533936 3.529184449742328e-13
 1.058207988739014 1.169077972660665e-13
 1.162487983703613 2.086322540587432e-13
 1.204859018325806 5.672130690815361e-14
 1.261250019073486 1.544581442896792e-12
 1.332921028137207 1.410846418620122e-13
 1.413373947143555 1.951217012663131e-13
 1.479789018630981 1.228895017207824e-13
 1.51176905632019 2.966775507069753e-13
 3.075608015060425 1.97703604640727e-13
 4.003821134567261 1.76463142870796e-13
 1.738215208053589 1.060345527715953e-13
 1.813133955001831 1.870665808719843e-13
 1.899644136428833 8.242708317233329e-14
 1.968086004257202 3.079446129386047e-12
 2.066673994064331 2.053805158347499e-13
 2.140949010848999 7.212927390679893e-13
 2.222430944442749 2.133472031775994e-12
 2.298775911331177 4.926824438752337e-13
 2.42801308631897 1.718566095001854e-13
 2.503671884536743 4.880370905105878e-13
 2.61279296875 1.71295910409748e-13
 2.689657926559448 1.917410803103202e-13
 2.811630010604858 3.014257050617829e-13
 2.86217999458313 1.369706734447701e-13
 3.013054847717285 1.346573054252476e-13
 3.139292001724243 1.252266456438965e-13
 6.999469995498657 8.462086876475389e-13
 3.315802097320557 1.260832342759221e-13
 3.427873849868774 2.979900834357462e-13
 3.572967052459717 1.786462467682489e-13
 3.687182903289795 3.168048037985357e-13
 3.844247817993164 6.190703563052508e-13
 3.939105033874512 6.071794001677184e-13
 7.799627065658569 1.404618354881795e-13
 4.153825998306274 1.346543362812366e-13
 8.137722969055176 9.990392433181372e-12
 4.465083122253418 1.736479151038384e-12
 4.665759086608887 2.044818682853764e-13
 8.835088014602661 2.697779316379651e-12
 5.001365900039673 3.517914670793386e-13
 5.651304960250854 1.654302821375261e-12
